Date,TCS.NS,INFY.NS,RELIANCE.NS
2019-01-01,1582.166015625,553.4483642578125,498.4905700683594
2019-01-02,1599.211669921875,556.7772216796875,491.9981994628906
2019-01-03,1579.7960205078125,556.8604125976562,485.9283142089844
2019-01-04,1560.5887451171875,550.1196899414062,488.55194091796875
2019-01-07,1578.092041015625,558.9826049804688,491.2645263671875
2019-01-08,1574.4747314453125,557.6093139648438,491.2200012207031
2019-01-09,1568.98681640625,562.644287109375,493.9325866699219
2019-01-10,1570.3173828125,565.6400756835938,492.48736572265625
2019-01-11,1532.0684814453125,568.8023071289062,488.28509521484375
2019-01-14,1507.70556640625,584.1148071289062,487.7292785644531
2019-01-15,1553.06396484375,604.6697998046875,502.337158203125
2019-01-16,1555.0179443359375,613.158203125,505.116455078125
2019-01-17,1578.474609375,610.2870483398438,504.4716491699219
2019-01-18,1583.765625,608.2897338867188,526.6612548828125
2019-01-21,1590.4736328125,619.9821166992188,550.3851318359375
2019-01-22,1584.8074951171875,620.2733154296875,549.251220703125
2019-01-23,1562.8922119140625,608.8723754882812,545.3158569335938
2019-01-24,1584.5157470703125,612.5123901367188,554.7208862304688
2019-01-25,1600.5562744140625,611.131591796875,554.0759887695312
2019-01-28,1629.054443359375,609.1233520507812,546.7610473632812
2019-01-29,1652.177978515625,609.0816040039062,538.3565063476562
2019-01-30,1651.052734375,607.4080810546875,531.70849609375
2019-01-31,1678.301025390625,627.1976318359375,545.6939086914062
2019-02-01,1691.5084228515625,633.4732055664062,555.83251953125
2019-02-04,1708.423828125,632.510986328125,574.0424194335938
2019-02-05,1703.6744384765625,631.6323852539062,574.3314208984375
2019-02-06,1728.880615234375,638.7029418945312,582.64697265625
2019-02-07,1735.6300048828125,639.288818359375,573.8200073242188
2019-02-08,1717.71484375,636.6950073242188,568.1726684570312
2019-02-11,1721.4647216796875,638.28466796875,557.300048828125
2019-02-12,1709.5489501953125,627.9507446289062,558.7008666992188
2019-02-14,1703.716064453125,619.2483520507812,544.3819580078125
2019-02-15,1691.2996826171875,620.8380737304688,553.3867797851562
2019-02-18,1641.8035888671875,620.0850830078125,542.558837890625
2019-02-19,1587.2237548828125,606.0692749023438,540.780029296875
2019-02-20,1595.5150146484375,619.7921752929688,548.8955078125
2019-02-21,1595.056884765625,613.7257080078125,554.476318359375
2019-02-22,1604.597412109375,614.9807739257812,548.0062255859375
2019-02-25,1654.177734375,631.6741943359375,547.98388671875
2019-02-26,1698.7998046875,621.2982788085938,542.62548828125
2019-02-27,1714.9649658203125,615.2317504882812,544.0706176757812
2019-02-28,1652.7607421875,614.4368896484375,547.4280395507812
2019-03-01,1662.7186279296875,620.7963256835938,545.20458984375
2019-03-05,1656.6358642578125,612.9307861328125,550.3629760742188
2019-03-06,1666.2183837890625,612.9307861328125,562.4361572265625
2019-03-07,1677.6343994140625,604.9395751953125,564.8598022460938
2019-03-08,1685.46728515625,596.0698852539062,563.4589233398438
2019-03-11,1678.8843994140625,595.1494750976562,579.9122314453125
2019-03-12,1676.9261474609375,591.5513305664062,592.0299072265625
2019-03-13,1666.9683837890625,592.8064575195312,599.1226196289062
2019-03-14,1656.0523681640625,592.7228393554688,596.565673828125
2019-03-15,1699.8411865234375,601.2577514648438,587.716552734375
2019-03-18,1685.550537109375,594.2708740234375,600.3455200195312
2019-03-19,1685.550537109375,604.3538818359375,612.1295776367188
2019-03-20,1679.0926513671875,618.327880859375,611.6405029296875
2019-03-22,1671.2596435546875,621.8004150390625,596.6546020507812
2019-03-25,1653.4281005859375,615.2317504882812,588.9614868164062
