Date,TCS.NS,INFY.NS,RELIANCE.NS
2019-01-01,0.0735644332820768,0.07843881648514146,0.11422340854187374
2019-01-02,0.08140651448455734,0.08102185117580885,0.1070241950168912
2019-01-03,0.07247423039381418,0.08108645072326155,0.10029333087066386
2019-01-04,0.0636371958445141,0.07585587651521815,0.10320261298345018
2019-01-07,0.07168982570906432,0.08273298141735291,0.10621050565185013
2019-01-08,0.07002582295940775,0.08166751512773163,0.10616123421431634
2019-01-09,0.06750098001444468,0.08557422485634297,0.10916912688271628
2019-01-10,0.0681130818730463,0.08789890871757158,0.10756651923249314
2019-01-11,0.05051578525272017,0.09035274431333357,0.10290674747633625
2019-01-14,0.039307003424715235,0.10223437236779932,0.10229041458361456
2019-01-15,0.06017535800011906,0.1181841142987641,0.1184887380755761
2019-01-16,0.06107410706362961,0.1247706633184778,0.12157067326136883
2019-01-17,0.07186600366396231,0.12254287877842825,0.12085569597276047
2019-01-18,0.07430037077681168,0.12099310532439984,0.14546136457720013
2019-01-21,0.07738643345505355,0.13006574235322985,0.17176811602638445
2019-01-22,0.0747796511934835,0.1302916986881982,0.17051081452217415
2019-01-23,0.0646969031543548,0.12144516007545265,0.16614677291203908
2019-01-24,0.07464553804197045,0.12426954322199904,0.1765759389770539
2019-01-25,0.08202513105236141,0.12319825160661774,0.17586082632735342
2019-01-28,0.0951364887739205,0.12163995328562344,0.16774951592335435
2019-01-29,0.10577495274027764,0.12160741671003693,0.15842983704994848
2019-01-30,0.10525737032639816,0.12030893739001441,0.15105793661168648
2019-01-31,0.1177935241544076,0.13566463817457214,0.16656598621435262
2019-02-01,0.12386978219529975,0.1405343263477258,0.17780867244304335
2019-02-04,0.13165227627309212,0.13978764272225713,0.19800116336090628
2019-02-05,0.12946692830337878,0.13910584280647334,0.19832169842706013
2019-02-06,0.1410638407805071,0.14459235246498187,0.20754263138376022
2019-02-07,0.14416911061863905,0.14504682259500834,0.19775460313159918
2019-02-08,0.13592665560663736,0.14303405414398757,0.19149212220440007
2019-02-11,0.1376518179969965,0.14426774447506924,0.17943584813148733
2019-02-12,0.1321696902031129,0.13624897044471249,0.18098918434417668
2019-02-14,0.12948613546326884,0.1294962812399078,0.16511132823782293
2019-02-15,0.12377380255713569,0.13073001893136152,0.1750965099206652
2019-02-18,0.1010018611850256,0.13014568666122117,0.16308971032692446
2019-02-19,0.07589130769308532,0.11927004026910352,0.16111722849246762
2019-02-20,0.07970589457627994,0.12991835687546385,0.1701162369386275
2019-02-21,0.07949500894649289,0.12521106741801055,0.1763047430289799
2019-02-22,0.08388440659423359,0.12618493874812045,0.16913019906303728
2019-02-25,0.10669493076998246,0.1391382846613158,0.16910542798317826
2019-02-26,0.12722429582171263,0.1310870687761166,0.1631636174832251
2019-02-27,0.13466156647306,0.1263798266790353,0.16476622513344827
2019-02-28,0.10604317904330372,0.12576291047293642,0.1684891289307296
2019-03-01,0.1106244798060863,0.1306976244368911,0.16602359431820463
2019-03-05,0.10782579442947435,0.12459415121191167,0.1717436156687097
2019-03-06,0.11223462388225,0.12459415121191167,0.18513130144377157
2019-03-07,0.1174867150477427,0.11839358922426504,0.18781862520574463
2019-03-08,0.12109041630115029,0.11151099051897448,0.18626535667360133
2019-03-11,0.11806191894129237,0.11079679610872029,0.20451013683686645
2019-03-12,0.11716092342633268,0.10800485481701634,0.21794695868836997
2019-03-13,0.11257973498612255,0.10897872614712623,0.22581197958524618
2019-03-14,0.10755734348130334,0.10891384243744133,0.22297670614957962
2019-03-15,0.127703463915812,0.11553666950213214,0.21316404217865167
2019-03-18,0.1211286059757855,0.11011499619293649,0.2271680270061622
2019-03-19,0.1211286059757855,0.11793897701312248,0.2402352453956163
2019-03-20,0.11815761777302529,0.12878213419002563,0.2396927181383762
